,topic,user_email,start_time,end_time,duration,total_minutes,participants_count
0,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-03-25T16:59:37Z,2020-03-25T19:11:46Z,133,6472,203
1,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-04-01T14:52:18Z,2020-04-01T18:31:54Z,220,11207,259
2,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-03-18T15:44:51Z,2020-03-18T19:20:15Z,216,13089,352
3,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-04-22T14:54:28Z,2020-04-22T18:53:55Z,240,12355,360
4,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-03-25T15:46:32Z,2020-03-25T16:53:35Z,68,3633,175
5,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-05-06T14:55:58Z,2020-05-06T18:27:18Z,212,8437,67
6,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-30T15:20:47Z,2020-08-30T18:32:04Z,192,3398,25
7,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-28T16:20:20Z,2021-02-28T20:21:03Z,241,6807,63
8,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-31T15:32:57Z,2020-05-31T19:20:41Z,228,9805,73
9,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-12T12:36:10Z,2020-10-12T12:38:44Z,3,5,2
10,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-04-05T15:23:35Z,2020-04-05T19:02:38Z,220,7523,148
11,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-17T15:09:32Z,2020-05-17T15:15:58Z,7,16,4
12,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-06-14T15:02:22Z,2020-06-14T18:50:48Z,229,7392,71
13,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-12-06T16:17:18Z,2020-12-06T20:05:07Z,228,6305,49
14,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-11T10:13:02Z,2020-10-11T10:20:05Z,8,9,2
15,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-14T16:27:10Z,2021-02-14T19:30:59Z,184,7865,69
16,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-24T15:27:07Z,2020-05-24T20:06:16Z,280,11584,92
17,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-09-13T15:16:29Z,2020-09-13T18:46:03Z,210,12982,114
18,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-24T16:34:13Z,2021-01-24T19:51:06Z,197,3053,46
19,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-03T16:15:38Z,2021-01-03T19:50:36Z,215,5321,50
20,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-07T18:22:41Z,2020-10-07T18:29:03Z,7,24,6
21,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-18T15:10:21Z,2020-10-18T19:09:20Z,239,7673,67
22,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-29T16:05:34Z,2020-11-29T19:50:05Z,225,7812,66
23,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-18T08:09:32Z,2020-10-18T08:14:08Z,5,8,3
24,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-21T16:11:04Z,2021-02-21T16:12:23Z,2,3,2
25,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T16:24:25Z,2021-01-31T19:53:35Z,210,12182,100
26,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-06-07T15:20:16Z,2020-06-07T21:45:34Z,386,8801,64
27,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-10T16:17:38Z,2021-01-10T19:37:56Z,201,4486,67
28,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-05T15:20:03Z,2020-07-05T18:56:43Z,217,5637,51
29,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-30T17:59:35Z,2021-01-30T18:50:27Z,51,485,12
30,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-24T16:18:24Z,2021-01-24T16:26:44Z,9,10,3
31,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-01T15:53:39Z,2020-11-01T20:05:19Z,252,6720,59
32,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-09-06T14:47:37Z,2020-09-06T18:32:37Z,226,2664,24
33,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-03-14T16:24:06Z,2021-03-14T19:31:51Z,188,5409,58
