topic,user_email,start_time,end_time,duration,participants_count
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-03-25T16:59:37Z,2020-03-25T19:11:46Z,133,203
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-04-01T14:52:18Z,2020-04-01T18:31:54Z,220,259
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-03-18T15:44:51Z,2020-03-18T19:20:15Z,216,352
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-04-22T14:54:28Z,2020-04-22T18:53:55Z,240,360
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-03-25T15:46:32Z,2020-03-25T16:53:35Z,68,175
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-05-06T14:55:58Z,2020-05-06T18:27:18Z,212,67
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-30T15:20:47Z,2020-08-30T18:32:04Z,192,25
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-28T16:20:20Z,2021-02-28T20:21:03Z,241,63
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-31T15:32:57Z,2020-05-31T19:20:41Z,228,73
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-12T12:36:10Z,2020-10-12T12:38:44Z,3,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-04-05T15:23:35Z,2020-04-05T19:02:38Z,220,148
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-17T15:09:32Z,2020-05-17T15:15:58Z,7,4
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-06-14T15:02:22Z,2020-06-14T18:50:48Z,229,71
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-12-06T16:17:18Z,2020-12-06T20:05:07Z,228,49
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-11T10:13:02Z,2020-10-11T10:20:05Z,8,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-14T16:27:10Z,2021-02-14T19:30:59Z,184,69
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-24T15:27:07Z,2020-05-24T20:06:16Z,280,92
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-09-13T15:16:29Z,2020-09-13T18:46:03Z,210,114
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-24T16:34:13Z,2021-01-24T19:51:06Z,197,46
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-03T16:15:38Z,2021-01-03T19:50:36Z,215,50
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-07T18:22:41Z,2020-10-07T18:29:03Z,7,6
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-18T15:10:21Z,2020-10-18T19:09:20Z,239,67
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-29T16:05:34Z,2020-11-29T19:50:05Z,225,66
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-18T08:09:32Z,2020-10-18T08:14:08Z,5,3
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-21T16:11:04Z,2021-02-21T16:12:23Z,2,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T16:24:25Z,2021-01-31T19:53:35Z,210,100
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-06-07T15:20:16Z,2020-06-07T21:45:34Z,386,64
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-10T16:17:38Z,2021-01-10T19:37:56Z,201,67
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-05T15:20:03Z,2020-07-05T18:56:43Z,217,51
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-30T17:59:35Z,2021-01-30T18:50:27Z,51,12
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-24T16:18:24Z,2021-01-24T16:26:44Z,9,3
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-01T15:53:39Z,2020-11-01T20:05:19Z,252,59
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-09-06T14:47:37Z,2020-09-06T18:32:37Z,226,24
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-03-14T16:24:06Z,2021-03-14T19:31:51Z,188,58
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-18T09:22:38Z,2020-10-18T09:25:37Z,3,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-02T15:06:37Z,2020-08-02T19:00:33Z,234,37
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-12T14:55:40Z,2020-07-12T19:38:33Z,283,40
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-05T15:18:49Z,2020-07-05T15:19:34Z,1,3
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-08T16:08:54Z,2020-11-08T19:48:08Z,220,82
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-07T16:15:15Z,2021-02-07T19:31:47Z,197,82
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-12-27T16:22:49Z,2020-12-27T19:40:40Z,198,51
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T15:10:00Z,2021-01-31T15:15:42Z,6,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-18T08:21:10Z,2020-10-18T08:26:54Z,6,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-09T15:20:27Z,2020-08-09T18:36:11Z,196,41
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-15T16:16:21Z,2020-11-15T19:41:29Z,206,87
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-17T16:12:57Z,2021-01-17T19:45:28Z,213,65
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-03-21T16:25:23Z,2021-03-21T19:42:43Z,198,38
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-22T16:11:52Z,2020-11-22T19:44:17Z,213,67
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-11T15:19:14Z,2020-10-11T19:17:31Z,239,85
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-06-28T15:28:33Z,2020-06-28T18:39:40Z,192,58
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-03-07T16:20:47Z,2021-03-07T21:38:17Z,318,57
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-26T15:29:53Z,2020-07-26T18:41:04Z,192,40
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-11T07:47:05Z,2020-10-11T08:50:50Z,64,11
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-03-29T16:32:23Z,2020-03-29T19:24:54Z,173,120
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-25T16:18:31Z,2020-10-25T19:35:02Z,197,52
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-12-20T16:17:17Z,2020-12-20T19:32:21Z,196,65
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-03T15:27:27Z,2020-05-03T20:27:25Z,300,53
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-04-19T15:27:52Z,2020-04-19T19:10:54Z,224,140
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-17T15:25:38Z,2020-05-17T18:43:56Z,199,105
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-06-21T15:29:38Z,2020-06-21T19:22:53Z,234,55
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-07T16:11:38Z,2021-02-07T16:12:37Z,1,3
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-12-13T16:23:14Z,2020-12-13T19:37:58Z,195,48
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-21T16:13:28Z,2021-02-21T19:36:50Z,204,69
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T15:41:03Z,2021-01-31T15:53:11Z,13,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-16T14:56:05Z,2020-08-16T18:31:36Z,216,45
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T16:15:27Z,2021-01-31T16:24:00Z,9,11
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-23T15:16:44Z,2020-08-23T18:40:29Z,204,37
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-10T15:18:08Z,2020-05-11T04:50:55Z,813,47
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-10T16:13:01Z,2021-01-10T16:14:27Z,2,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-04-26T15:07:58Z,2020-04-27T09:23:24Z,1096,48
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-08T07:42:00Z,2020-10-08T07:45:29Z,4,2
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-19T15:14:11Z,2020-07-19T19:07:31Z,234,38
Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T12:04:39Z,2021-01-31T12:09:50Z,6,3
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-07-21T06:25:55Z,2020-07-21T10:02:26Z,217,74
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-03-02T07:12:06Z,2021-03-02T10:30:32Z,199,70
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-05-19T06:26:16Z,2020-05-19T09:28:08Z,182,19
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-05-26T06:26:08Z,2020-05-26T09:30:42Z,185,31
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-10-13T06:24:26Z,2020-10-13T09:59:12Z,215,55
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-03-16T07:06:28Z,2021-03-16T10:35:54Z,210,57
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-11-10T07:19:50Z,2020-11-10T10:46:28Z,207,131
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-02-23T07:23:48Z,2021-02-23T10:43:39Z,200,66
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-06-02T06:25:48Z,2020-06-02T09:29:49Z,185,31
